epoch,loss,lr,val_loss
0,0.00015094112313818187,1e-04,0.00014984604786150157
1,0.00014902475231792778,1e-04,0.0001504565734649077
2,0.00014978674880694598,1e-04,0.00014897892833687365
3,0.00014773209113627672,1e-04,0.0001502524974057451
4,0.00015003404405433685,1e-04,0.00014989760529715568
5,0.00014953454956412315,1e-04,0.00014886475400999188
6,0.00014714529970660806,5e-05,0.00014226538769435138
7,0.00013978937931824476,5e-05,0.00013094645692035556
8,0.00012880229041911662,5e-05,0.00012059327855240554
9,0.00011722991621354595,5e-05,0.00010410293180029839
10,9.14174088393338e-05,5e-05,8.477284427499399e-05
11,6.951844261493534e-05,5e-05,6.155670416774228e-05
12,5.745361704612151e-05,5e-05,5.542570579564199e-05
13,4.682100916397758e-05,5e-05,4.687118416768499e-05
14,4.070016075274907e-05,5e-05,3.856678449665196e-05
15,3.628359627327882e-05,5e-05,3.7555390008492395e-05
16,3.0334151233546436e-05,5e-05,3.973018829128705e-05
17,2.8027428925270215e-05,5e-05,3.017686503881123e-05
18,2.4678551199031062e-05,5e-05,3.329495302750729e-05
19,2.4999124434543774e-05,5e-05,2.6583273211144842e-05
20,2.3252569008036517e-05,5e-05,2.6506755602895282e-05
21,2.2947477191337384e-05,5e-05,2.7913729354622774e-05
22,2.235830652352888e-05,5e-05,2.850176861102227e-05
23,2.1208419639151543e-05,5e-05,2.730735832301434e-05
24,2.0511348338914104e-05,5e-05,2.1752917746198364e-05
25,2.0194871467538178e-05,5e-05,2.651718932611402e-05
26,1.995114143937826e-05,5e-05,2.5233659471268766e-05
27,1.9713679648702964e-05,5e-05,2.3761434931657277e-05
28,1.9416196664678864e-05,5e-05,2.5182456738548353e-05
29,1.8411728888168e-05,5e-05,2.128670530510135e-05
30,1.7008514987537637e-05,2.5e-05,2.3252439859788865e-05
31,1.7443882825318724e-05,2.5e-05,2.2934478693059646e-05
32,1.507840624981327e-05,2.5e-05,2.955467971332837e-05
33,1.633897227293346e-05,2.5e-05,2.27355176320998e-05
34,1.5907391571090557e-05,2.5e-05,2.3983066057553515e-05
35,1.621155570319388e-05,2.5e-05,2.256507104902994e-05
36,1.5177827663137577e-05,2.5e-05,2.1257703338051215e-05
37,1.5297497157007456e-05,1.25e-05,2.2577001800527796e-05
38,1.4563813238055445e-05,1.25e-05,2.4661525458213873e-05
39,1.4338512301037554e-05,1.25e-05,2.076910823234357e-05
40,1.4937445484974887e-05,1.25e-05,2.0068946469109505e-05
