epoch,back_middle,base_beak,loss,lr,tail,tip_beak,val_back_middle,val_base_beak,val_loss,val_tail,val_tip_beak
0,0.005667425692081451,0.007285842206329107,0.007211409043520689,1e-04,0.008769003674387932,0.007123360875993967,0.001516288029961288,0.005489599425345659,0.004641483072191477,0.006163339130580425,0.005396705586463213
1,0.0013479170156642795,0.006264807190746069,0.004814984276890755,1e-04,0.005106264725327492,0.006540943402796984,0.0011233894620090723,0.004396652802824974,0.0031858417205512524,0.0025365494657307863,0.004686775151640177
2,0.0011441726237535477,0.005055692046880722,0.0037730971816927195,1e-04,0.0035285756457597017,0.005363950971513987,0.0006763139390386641,0.0036398658994585276,0.0025658465456217527,0.0023329223040491343,0.0036142829339951277
3,0.000947462220210582,0.003910048399120569,0.0028668486047536135,1e-04,0.002579685300588608,0.004030198324471712,0.0005964969750493765,0.003236084245145321,0.002241326728835702,0.0018550317035987973,0.003277693409472704
4,0.0006651714211329818,0.0032494873739778996,0.002398595679551363,1e-04,0.0023088983725756407,0.0033708226401358843,0.00046663673128932714,0.003276584669947624,0.002280979882925749,0.0020803979132324457,0.0033003007993102074
5,0.0006162209319882095,0.0026220239233225584,0.001990889897570014,1e-04,0.0018927559722214937,0.00283255847170949,0.0005504319560714066,0.0028330106288194656,0.0019148178398609161,0.0012976904399693012,0.00297813699580729
6,0.000425793114118278,0.002321872627362609,0.0017209828365594149,1e-04,0.0016301755094900727,0.0025060914922505617,0.0002668736851774156,0.0028166768606752157,0.0021402717102319,0.002086011692881584,0.003391525475308299
7,0.00044073781464248896,0.001959584653377533,0.0015144268982112408,1e-04,0.0015093322144821286,0.002148054074496031,0.0004481053911149502,0.0019984121900051832,0.0015054313698783517,0.0014391869772225618,0.0021360209211707115
8,0.0003017364942934364,0.001593308406881988,0.0012529940577223897,1e-04,0.0013142622774466872,0.0018026703037321568,0.00036034142249263823,0.002115753013640642,0.001555733848363161,0.0015703282551839948,0.0021765127312391996
9,0.00025397201534360647,0.0014336110325530171,0.001115425955504179,1e-04,0.0011874245246872306,0.0015866946196183562,0.0002504643052816391,0.0021130412351340055,0.0014215459814295173,0.0012319801608100533,0.002090698340907693
10,0.00026538371457718313,0.0013028532266616821,0.001049721147865057,1e-04,0.0011449826415628195,0.0014856652123853564,0.00043997637112624943,0.0020690143574029207,0.0015096691204234958,0.0011496917577460408,0.0023799941409379244
